year,imports
1970,69.9
1971,78.4
1972,64.9
1973,92.2
1974,90.5
1975,67.8
1976,94.1
1977,121.5
1978,156.1
1979,143.7
1980,174.2
1981,127
1982,168.8
1983,153.9
1984,217.3
1985,214.7
1986,180.5
1987,198.9
1988,200.2
1989,243.6
1990,571.7
1991,528.8
1992,571
1993,658.8
1994,435.2
1995,533.6
1996,645.3
1997,639.4
1998,815.6
1999,745.9
2000,781.2
2001,828.9
2002,975.6
2003,994.5
2004,1057.4
2005,1279.4
2006,1396.5
2007,1370.9
2008,1447.4
2009,1453.3
2010,1700.3
2011,1666
2012,1931.4
2013,1856.2
2014,1972.7
2015,2041.6
2016,2211.4
2017,2344.3
